person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,PD,Risk_Tier,EAD,LGD,Expected_Loss
26,89028,RENT,0.0,DEBTCONSOLIDATION,A,30000,6.62,1,0.34,N,3,0.35075241496502374,High,30000,0.45,4735.157602027821
24,78000,RENT,4.0,DEBTCONSOLIDATION,D,30000,,1,0.38,Y,4,0.9400147046309961,High,30000,0.45,12690.198512518447
23,78000,RENT,7.0,DEBTCONSOLIDATION,F,30000,18.62,1,0.38,Y,3,0.9809024754433316,High,30000,0.45,13242.183418484978
23,92004,RENT,6.0,PERSONAL,C,30000,15.23,1,0.33,Y,3,0.49380380951005515,High,30000,0.45,6666.351428385745
23,97000,RENT,7.0,VENTURE,B,30000,10.65,1,0.31,N,2,0.185674561063626,High,30000,0.45,2506.606574358951
25,120000,RENT,9.0,EDUCATION,A,30000,7.9,0,0.25,N,4,0.09326400461486847,Medium,30000,0.45,1259.0640623007243
26,280000,RENT,4.0,PERSONAL,C,10000,15.96,0,0.04,Y,3,0.17836155683687277,High,10000,0.45,802.6270057659275
26,277104,RENT,0.0,VENTURE,B,20000,11.48,0,0.07,N,3,0.03333589940197421,Low,20000,0.45,300.0230946177679
23,277000,OWN,3.0,PERSONAL,A,35000,,0,0.13,N,4,0.002312466459196097,Low,35000,0.45,36.42134673233853
25,128000,RENT,9.0,PERSONAL,A,30000,7.29,0,0.23,N,4,0.08678846572066024,Medium,30000,0.45,1171.644287228913
24,12000,OWN,2.0,VENTURE,E,1750,,0,0.15,Y,3,0.42017625626813726,High,1750,0.45,330.8888018111581
21,131000,RENT,0.0,VENTURE,A,30000,5.99,0,0.23,N,4,0.044493723463930115,Low,30000,0.45,600.6652667630566
22,275000,OWN,6.0,VENTURE,B,12000,11.58,0,0.04,N,2,0.0055967264724032205,Low,12000,0.45,30.222322950977393
26,263000,MORTGAGE,0.0,EDUCATION,B,10000,,1,0.04,N,4,0.047186383024502856,Low,10000,0.45,212.33872361026286
25,221850,MORTGAGE,9.0,MEDICAL,D,25000,15.7,1,0.1,N,2,0.33165232799137345,High,25000,0.45,3731.088689902951
22,70000,RENT,6.0,EDUCATION,D,29100,15.99,1,0.42,N,3,0.9552054498329898,High,29100,0.45,12508.415365563002
22,12000,MORTGAGE,7.0,EDUCATION,D,1500,14.84,0,0.13,Y,3,0.8106648183367267,High,1500,0.45,547.1987523772906
26,260000,OWN,10.0,HOMEIMPROVEMENT,B,28000,10.99,0,0.11,N,3,0.008966319775783915,Low,28000,0.45,112.97562917487733
25,259000,MORTGAGE,9.0,HOMEIMPROVEMENT,D,20000,14.42,0,0.08,Y,2,0.4660812591248058,High,20000,0.45,4194.731332123252
24,255000,MORTGAGE,9.0,EDUCATION,A,9600,6.99,0,0.04,N,2,0.028805898279460788,Low,9600,0.45,124.4414805672706
25,250000,RENT,2.0,MEDICAL,C,25000,13.49,0,0.1,N,4,0.09832346464320517,Medium,25000,0.45,1106.138977236058
25,12000,OWN,0.0,MEDICAL,C,3000,,1,0.25,N,3,0.35472477418833914,High,3000,0.45,478.87844515425786
22,56950,RENT,6.0,MEDICAL,A,28000,,1,0.49,N,2,0.8500456539212083,High,28000,0.45,10710.575239407224
21,12000,OWN,6.0,EDUCATION,C,3000,13.61,1,0.25,Y,3,0.2896327079906831,High,3000,0.45,391.0041557874222
23,65000,RENT,2.0,EDUCATION,A,28000,7.9,1,0.43,N,2,0.5531853799489379,High,28000,0.45,6970.135787356618
26,85000,RENT,2.0,VENTURE,A,28000,7.49,1,0.33,N,3,0.18007522392698339,High,28000,0.45,2268.9478214799906
26,12000,OWN,2.0,EDUCATION,A,6100,7.51,1,0.51,N,3,0.7627065077479248,High,6100,0.45,2093.6293637680537
22,88000,RENT,6.0,VENTURE,B,28000,9.91,1,0.32,N,3,0.23222243535644557,High,28000,0.45,2926.0026854912144
21,12000,OWN,0.0,PERSONAL,C,4200,13.48,1,0.35,Y,4,0.6156121329943115,High,4200,0.45,1163.506931359249
22,12000,OWN,6.0,DEBTCONSOLIDATION,A,4750,7.14,1,0.4,N,2,0.6216726319277097,High,4750,0.45,1328.8252507454795
24,83004,RENT,0.0,VENTURE,D,28000,15.99,1,0.34,Y,4,0.8544944594645867,High,28000,0.45,10766.630189253792
24,250000,RENT,2.0,EDUCATION,C,18000,12.98,0,0.07,Y,3,0.08254484492862206,Medium,18000,0.45,668.6132439218387
144,250000,RENT,4.0,VENTURE,C,4800,13.57,0,0.02,N,3,0.07659926985166939,Medium,4800,0.45,165.4544228796059
25,100000,RENT,5.0,DEBTCONSOLIDATION,B,28000,12.69,0,0.28,N,3,0.3836429733104888,High,28000,0.45,4833.901463712159
26,110000,RENT,10.0,EDUCATION,A,28000,8.9,0,0.25,N,2,0.11826019309336684,Medium,28000,0.45,1490.0784329764222
26,12000,OWN,0.0,DEBTCONSOLIDATION,A,2700,,1,0.23,N,4,0.23155403122945223,High,2700,0.45,281.33814794378446
22,108000,RENT,6.0,EDUCATION,B,28000,,1,0.26,N,4,0.18971920709336507,High,28000,0.45,2390.4620093763997
23,151200,RENT,7.0,DEBTCONSOLIDATION,B,28000,11.11,0,0.19,N,2,0.15335324378511492,High,28000,0.45,1932.250871692448
24,69000,RENT,2.0,HOMEIMPROVEMENT,A,27600,,1,0.4,N,2,0.7236891803643465,High,27600,0.45,8988.219620125183
21,12000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250,15.68,1,0.27,Y,3,0.9827347288695518,High,3250,0.45,1437.2495409717194
22,70000,RENT,4.0,EDUCATION,C,27500,13.06,1,0.39,Y,3,0.650831655454547,High,27500,0.45,8054.041736250019
22,240000,OWN,6.0,PERSONAL,B,25000,,0,0.1,N,2,0.0056123424193271175,Low,25000,0.45,63.13885221743008
26,73200,RENT,5.0,VENTURE,D,27050,15.62,1,0.37,Y,2,0.9010132350975434,High,27050,0.45,10967.583604224847
24,83000,RENT,5.0,PERSONAL,C,27000,13.49,1,0.33,Y,2,0.5377673070524752,High,27000,0.45,6533.872780687574
24,73399,RENT,0.0,VENTURE,D,27000,,1,0.37,N,3,0.8646707998466489,High,27000,0.45,10505.750218136784
23,62500,RENT,7.0,MEDICAL,B,26000,11.71,1,0.42,N,2,0.7955051777702886,High,26000,0.45,9307.410579912377
23,120000,RENT,1.0,EDUCATION,B,25600,12.69,0,0.21,N,3,0.15199808411792426,High,25600,0.45,1751.0179290384876
24,12360,OWN,2.0,MEDICAL,C,1600,13.57,0,0.13,N,3,0.14144869760599255,Medium,1600,0.45,101.84306227631464
22,60000,RENT,0.0,VENTURE,B,25475,10.99,1,0.42,N,3,0.6012236753923088,High,25475,0.45,6892.27790877858
25,234000,MORTGAGE,3.0,MEDICAL,C,20000,14.27,0,0.09,Y,4,0.0823305583453074,Medium,20000,0.45,740.9750251077667
24,234000,OWN,8.0,HOMEIMPROVEMENT,B,20000,8.88,0,0.09,N,4,0.013516855016503335,Low,20000,0.45,121.65169514853002
26,234000,MORTGAGE,10.0,HOMEIMPROVEMENT,B,21600,12.18,0,0.09,N,3,0.06733898997607426,Medium,21600,0.45,654.534982567442
25,221004,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11900,14.42,1,0.05,Y,3,0.5107753436736023,High,11900,0.45,2735.2019653721404
26,232500,MORTGAGE,0.0,MEDICAL,C,25000,14.17,0,0.11,Y,2,0.0638444026519039,Medium,25000,0.45,718.2495298339189
25,230000,MORTGAGE,5.0,MEDICAL,C,35000,13.99,0,0.15,N,4,0.037161845525835624,Low,35000,0.45,585.2990670319111
23,83000,RENT,7.0,EDUCATION,B,25300,10.99,1,0.3,N,3,0.3363724007607366,High,25300,0.45,3829.5997826609864
22,12600,MORTGAGE,,PERSONAL,A,2000,5.42,1,0.16,N,4,0.22987651083163152,High,2000,0.45,206.88885974846838
25,12600,OWN,3.0,PERSONAL,C,1750,13.61,0,0.14,N,3,0.11815156978332747,Medium,1750,0.45,93.04436120437039
21,42500,RENT,3.0,EDUCATION,C,25000,12.73,1,0.59,Y,3,0.9679377889570574,High,25000,0.45,10889.300125766897
24,41000,RENT,2.0,HOMEIMPROVEMENT,D,25000,,1,0.61,N,3,0.9983595663531225,High,25000,0.45,11231.545121472629
25,12816,OWN,0.0,DEBTCONSOLIDATION,C,3000,12.87,1,0.23,Y,4,0.35465514119599123,High,3000,0.45,478.78444061458816
24,12960,MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650,9.91,1,0.28,N,3,0.8005297075681734,High,3650,0.45,1314.870044680725
26,226000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,20000,11.49,0,0.09,N,4,0.07501873673163324,Medium,20000,0.45,675.1686305846991
25,225000,MORTGAGE,0.0,HOMEIMPROVEMENT,E,30000,19.91,0,0.13,Y,2,0.5362072403109341,High,30000,0.45,7238.797744197611
26,213000,MORTGAGE,6.0,EDUCATION,B,35000,10.65,1,0.16,N,2,0.016147058757720406,Low,35000,0.45,254.31617543409638
24,225000,RENT,0.0,MEDICAL,B,6000,,0,0.03,N,4,0.17803484723941815,High,6000,0.45,480.69408754642905
24,12960,MORTGAGE,0.0,DEBTCONSOLIDATION,B,4500,11.83,1,0.35,N,4,0.8890364244588329,High,4500,0.45,1800.2987595291368
23,12996,OWN,0.0,DEBTCONSOLIDATION,C,2400,13.49,1,0.18,Y,2,0.2441908767136088,High,2400,0.45,263.7261468506975
22,42000,RENT,6.0,MEDICAL,D,25000,14.59,1,0.6,Y,2,0.998064002508104,High,25000,0.45,11228.22002821617
26,48000,RENT,2.0,EDUCATION,B,25000,9.64,1,0.52,N,4,0.8857361230950656,High,25000,0.45,9964.531384819487
25,12996,OWN,1.0,MEDICAL,D,3600,14.59,1,0.28,N,3,0.8838765341273834,High,3600,0.45,1431.879985286361
22,12996,OWN,1.0,EDUCATION,B,4750,,1,0.37,N,3,0.5098327581054249,High,4750,0.45,1089.767520450346
25,42360,RENT,1.0,EDUCATION,E,25000,16.35,1,0.59,Y,3,0.9975235630008851,High,25000,0.45,11222.140083759958
21,49000,RENT,4.0,EDUCATION,B,25000,10.99,1,0.51,N,2,0.8837370977974206,High,25000,0.45,9942.042350220981
25,225000,MORTGAGE,0.0,VENTURE,F,25000,18.67,0,0.11,N,2,0.33836583739864573,High,25000,0.45,3806.615670734764
26,225000,RENT,1.0,EDUCATION,A,3000,9.32,0,0.01,N,4,0.0832159796444492,Medium,3000,0.45,112.34157252000642
23,225000,RENT,8.0,DEBTCONSOLIDATION,A,7500,8.63,0,0.03,N,2,0.11511629843969744,Medium,7500,0.45,388.5175072339789
26,225000,MORTGAGE,2.0,VENTURE,B,25000,10.08,0,0.11,N,2,0.01519267560830804,Low,25000,0.45,170.91760059346547
22,49464,RENT,5.0,PERSONAL,B,25000,11.83,1,0.51,N,3,0.909143662537109,High,25000,0.45,10227.866203542477
23,50000,RENT,1.0,DEBTCONSOLIDATION,A,25000,7.9,1,0.5,N,3,0.8838797040676125,High,25000,0.45,9943.64667076064
25,50000,RENT,4.0,HOMEIMPROVEMENT,A,25000,5.99,1,0.5,N,2,0.8947605542210383,High,25000,0.45,10066.056234986681
24,44000,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.33,1,0.57,N,2,0.9974064730203633,High,25000,0.45,11220.822821479087
23,50000,RENT,1.0,VENTURE,B,25000,11.83,1,0.5,N,4,0.8230342996667109,High,25000,0.45,9259.135871250499
22,50004,RENT,0.0,VENTURE,B,25000,10.36,1,0.5,N,2,0.8071825682772218,High,25000,0.45,9080.803893118746
22,50004,RENT,3.0,VENTURE,C,25000,12.23,1,0.5,N,3,0.8530762480083777,High,25000,0.45,9597.10779009425
22,52000,RENT,2.0,EDUCATION,B,25000,11.11,1,0.48,N,4,0.8396705782386331,High,25000,0.45,9446.294005184624
23,13200,OWN,3.0,DEBTCONSOLIDATION,A,4950,7.9,1,0.38,N,4,0.5687493078526598,High,4950,0.45,1266.8890832417997
24,220000,MORTGAGE,1.0,EDUCATION,B,25000,11.58,0,0.11,N,2,0.025637950614171217,Low,25000,0.45,288.4269444094262
23,216000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,21000,8.9,0,0.1,N,3,0.039553265507390446,Low,21000,0.45,373.7783590448397
25,216000,MORTGAGE,2.0,EDUCATION,D,25000,16.07,0,0.12,N,3,0.2786198824499559,High,25000,0.45,3134.473677562004
26,216000,MORTGAGE,10.0,EDUCATION,C,20000,14.22,0,0.09,Y,2,0.048828941736094755,Low,20000,0.45,439.46047562485285
23,215000,MORTGAGE,7.0,MEDICAL,C,35000,14.79,0,0.16,Y,3,0.04586567826764174,Low,35000,0.45,722.3844327153575
26,215000,MORTGAGE,11.0,EDUCATION,A,12000,7.88,0,0.06,N,2,0.030034252683811043,Low,12000,0.45,162.18496449257964
23,52000,RENT,1.0,PERSONAL,C,25000,13.22,1,0.48,N,2,0.9010825855293192,High,25000,0.45,10137.17908720484
26,46000,RENT,2.0,DEBTCONSOLIDATION,D,25000,11.86,1,0.54,N,4,0.9951228298486783,High,25000,0.45,11195.13183579763
22,53000,RENT,5.0,EDUCATION,C,25000,13.43,1,0.47,Y,4,0.8726178035147186,High,25000,0.45,9816.950289540586
26,47000,RENT,0.0,HOMEIMPROVEMENT,D,25000,15.28,1,0.53,Y,2,0.9967565382004024,High,25000,0.45,11213.511054754528
23,47000,RENT,1.0,VENTURE,E,25000,17.93,1,0.53,N,2,0.9925272624979253,High,25000,0.45,11165.93170310166
23,13200,MORTGAGE,2.0,EDUCATION,B,1400,9.25,0,0.11,N,4,0.18702836558927083,High,1400,0.45,117.82787032124062
21,13200,OWN,0.0,VENTURE,C,4500,12.98,1,0.34,N,4,0.40114702921372086,High,4500,0.45,812.3227341577847
22,210000,MORTGAGE,6.0,VENTURE,B,16000,10.62,0,0.08,N,4,0.0271132480335204,Low,16000,0.45,195.2153858413469
26,210000,OWN,10.0,PERSONAL,B,22000,11.83,0,0.1,N,4,0.007892406703372193,Low,22000,0.45,78.13482636338472
26,48000,RENT,5.0,VENTURE,F,25000,18.43,1,0.52,N,2,0.9941274596557645,High,25000,0.45,11183.933921127351
22,54996,RENT,6.0,EDUCATION,B,25000,,1,0.45,N,4,0.7795213465054539,High,25000,0.45,8769.615148186356
24,55000,RENT,4.0,HOMEIMPROVEMENT,D,25000,,1,0.45,Y,4,0.9879838752811256,High,25000,0.45,11114.818596912664
23,55000,RENT,4.0,EDUCATION,B,25000,11.36,1,0.45,N,3,0.7833190887754978,High,25000,0.45,8812.339748724351
23,55000,RENT,4.0,EDUCATION,D,25000,15.65,1,0.45,Y,3,0.9796014680013624,High,25000,0.45,11020.516515015328
24,55164,RENT,8.0,PERSONAL,C,25000,13.22,1,0.45,Y,4,0.8656424210840783,High,25000,0.45,9738.47723719588
26,56000,RENT,4.0,DEBTCONSOLIDATION,C,25000,12.87,1,0.45,N,2,0.8993811517527117,High,25000,0.45,10118.037957218006
24,203500,OWN,8.0,MEDICAL,C,20000,13.04,0,0.1,N,3,0.017510154359331155,Low,20000,0.45,157.5913892339804
23,190000,MORTGAGE,5.0,EDUCATION,F,22000,17.58,1,0.12,Y,3,0.5344648771568172,High,22000,0.45,5291.202283852491
23,13920,OWN,2.0,PERSONAL,E,7750,17.04,1,0.56,N,4,0.9952603399412422,High,7750,0.45,3470.970435545082
24,60000,RENT,0.0,PERSONAL,B,25000,10.99,1,0.42,N,3,0.7487746503762506,High,25000,0.45,8423.71481673282
24,60000,RENT,2.0,PERSONAL,B,25000,11.11,1,0.42,N,3,0.7502204023138023,High,25000,0.45,8439.979526030274
26,54000,RENT,7.0,DEBTCONSOLIDATION,D,25000,14.83,1,0.46,Y,2,0.9894722115428946,High,25000,0.45,11131.562379857563
23,14000,OWN,2.0,DEBTCONSOLIDATION,D,4000,,1,0.29,N,3,0.8750009525946971,High,4000,0.45,1575.001714670455
24,200000,RENT,8.0,MEDICAL,B,12000,12.69,0,0.06,N,2,0.1591265065309212,High,12000,0.45,859.2831352669746
24,200000,MORTGAGE,8.0,HOMEIMPROVEMENT,C,12000,13.49,0,0.06,N,2,0.14847404026954752,Medium,12000,0.45,801.7598174555567
21,200000,MORTGAGE,5.0,EDUCATION,C,16000,14.65,0,0.08,N,4,0.064256470735568,Medium,16000,0.45,462.64658929608964
25,54000,RENT,3.0,HOMEIMPROVEMENT,E,25000,16.82,1,0.46,N,4,0.9945582865187796,High,25000,0.45,11188.780723336271
23,60000,RENT,3.0,PERSONAL,C,25000,12.73,1,0.42,N,3,0.8039616133016557,High,25000,0.45,9044.568149643626
23,60000,RENT,7.0,PERSONAL,B,25000,10.25,1,0.42,N,4,0.7390815444210075,High,25000,0.45,8314.667374736335
21,60000,RENT,6.0,EDUCATION,B,25000,10.99,1,0.42,N,4,0.7077752286906032,High,25000,0.45,7962.471322769286
25,61959,RENT,9.0,MEDICAL,C,25000,12.73,1,0.4,N,2,0.8121226255463877,High,25000,0.45,9136.379537396862
22,56400,RENT,2.0,HOMEIMPROVEMENT,D,25000,14.96,1,0.44,Y,3,0.9897622023295463,High,25000,0.45,11134.824776207395
23,200000,MORTGAGE,7.0,EDUCATION,A,28000,,0,0.14,N,2,0.020267555925347763,Low,28000,0.45,255.37120465938182
21,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,C,25000,13.99,0,0.13,N,2,0.08298121257674358,Medium,25000,0.45,933.5386414883653
24,200000,MORTGAGE,3.0,VENTURE,A,24000,7.49,0,0.12,N,4,0.012231949705203268,Low,24000,0.45,132.10505681619532
26,200000,MORTGAGE,4.0,EDUCATION,C,15000,14.79,0,0.07,N,3,0.0623470491893512,Medium,15000,0.45,420.84258202812066
25,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,15500,11.99,0,0.08,N,2,0.0824351734257331,Medium,15500,0.45,574.9853346444884
24,200000,RENT,8.0,EDUCATION,A,10000,8.49,0,0.05,N,4,0.06416398977411832,Medium,10000,0.45,288.7379539835324
24,66000,RENT,3.0,EDUCATION,B,25000,9.91,1,0.38,N,2,0.5710851124674163,High,25000,0.45,6424.707515258434
22,66000,RENT,6.0,EDUCATION,C,25000,13.06,1,0.38,Y,3,0.6791751614165579,High,25000,0.45,7640.720565936276
22,200000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,9000,6.17,0,0.04,N,4,0.05131767756981052,Medium,9000,0.45,207.8365941577326
144,200000,MORTGAGE,4.0,EDUCATION,B,6000,11.86,0,0.03,N,2,0.04411350372049937,Low,6000,0.45,119.1064600453483
25,200000,RENT,5.0,EDUCATION,D,18000,16.32,0,0.09,N,3,0.5162693494258219,High,18000,0.45,4181.781730349157
25,200000,MORTGAGE,2.0,VENTURE,B,12000,10.38,0,0.06,N,2,0.030556613007545627,Low,12000,0.45,165.0057102407464
25,200000,MORTGAGE,9.0,PERSONAL,C,23050,14.35,0,0.12,N,3,0.062012975805178734,Medium,23050,0.45,643.2295915392165
24,200000,MORTGAGE,8.0,DEBTCONSOLIDATION,B,20000,,0,0.1,N,3,0.06370374585875259,Medium,20000,0.45,573.3337127287733
24,60000,RENT,2.0,DEBTCONSOLIDATION,E,25000,,1,0.42,Y,2,0.9831104678680559,High,25000,0.45,11059.99276351563
21,14400,OWN,0.0,HOMEIMPROVEMENT,B,3000,,1,0.21,N,4,0.27885636653379375,High,3000,0.45,376.4560948206216
26,66996,RENT,10.0,PERSONAL,D,25000,15.21,1,0.37,Y,2,0.9536648178732646,High,25000,0.45,10728.729201074228
23,67000,RENT,3.0,EDUCATION,A,25000,7.9,1,0.37,N,4,0.440204651598857,High,25000,0.45,4952.302330487142
24,67000,RENT,2.0,VENTURE,B,25000,10.99,1,0.37,N,3,0.45408631978064623,High,25000,0.45,5108.4710975322705
24,68000,RENT,5.0,PERSONAL,D,25000,14.09,1,0.37,Y,3,0.9505170892640026,High,25000,0.45,10693.31725422003
25,69000,RENT,9.0,PERSONAL,D,25000,17.49,1,0.36,N,2,0.9537114690171548,High,25000,0.45,10729.254026442992
25,200000,MORTGAGE,0.0,EDUCATION,B,12000,11.48,0,0.06,N,3,0.04958389948658254,Low,12000,0.45,267.75305722754575
26,188000,MORTGAGE,10.0,VENTURE,E,20000,17.74,1,0.11,N,2,0.35583139639656297,High,20000,0.45,3202.4825675690668
26,200000,MORTGAGE,4.0,PERSONAL,C,3000,13.92,0,0.01,N,3,0.11059309862520662,Medium,3000,0.45,149.30068314402897
25,69996,RENT,9.0,EDUCATION,D,25000,15.21,1,0.36,N,3,0.9339185535434451,High,25000,0.45,10506.583727363757
22,14400,OWN,2.0,MEDICAL,B,4000,10.99,1,0.28,N,3,0.37746275602535534,High,4000,0.45,679.4329608456396
24,70000,RENT,3.0,EDUCATION,B,25000,11.86,1,0.36,N,4,0.5437675125522268,High,25000,0.45,6117.384516212551
